Event	ID	Name			Wwise Object Path	Notes
	199363535	UIHover			\Default Work Unit\UIHover	
	449400146	SwordHitEntity			\Default Work Unit\SwordHitEntity	
	855205717	GrassBlockPlace			\Default Work Unit\GrassBlockPlace	
	1312131451	UIError			\Default Work Unit\UIError	
	1328934038	SwordSwing			\Default Work Unit\SwordSwing	
	1389761091	UIOpen			\Default Work Unit\UIOpen	
	1569152799	KillEnemy			\Default Work Unit\KillEnemy	
	2369440737	GrassBlockBreak			\Default Work Unit\GrassBlockBreak	
	2690247172	LocalDeath			\Default Work Unit\LocalDeath	Fired when the local player dies.
	2951135571	GrassBlockHit			\Default Work Unit\GrassBlockHit	
	3030481697	UIClose			\Default Work Unit\UIClose	
	3164408517	UIClick			\Default Work Unit\UIClick	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	20130914	GolemBoss_HammerFistSlam_BlockDislodge_03	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\GolemBoss_HammerFistSlam_BlockDislodge_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GolemBoss_HammerFistSlam_BlockDislodge_03		68896
	189105656	Death	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\Death_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Death		864096
	217430827	UI_Error	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\UI_Error_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_Error		15808
	652054210	UI_Open	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\UI_Open_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_Open		27792
	666199039	Sword_Swing_03	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\Sword_Swing_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sword_Swing_03		14142
	739404055	Block_Dirt_Hit_01	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\Block_Dirt_Hit_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GrassHitRandomContainer\Block_Dirt_Hit_01		32096
	779052996	UI_Click	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\UI_Select_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_Click		6150
	822954183	Block_Dirt_Hit_02	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\Block_Dirt_Hit_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GrassHitRandomContainer\Block_Dirt_Hit_02		30252
	958236083	UI_Hover_01	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\UI_Hover_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_Hover_01		1440
	998667112	UI_Close	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\UI_Close_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_Close		18158
	1007450840	Block_Dirt_Place_01	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\Block_Dirt_Place_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block_Dirt_Place_01		19936
	1044586495	KillPlayer_05	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\KillPlayer_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\KillPlayer_05		374264
	1055302099	Block_Dirt_Break	Y:\easy-unity\luauPlugin\LuauUnityProject\Assets\Game\BedWars\LuauUnityProject_WwiseProject\.cache\Android\SFX\Block_Dirt_Break_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block_Dirt_Break		85112

